list_name,root_message_id,content_hash,model,prompt_version,ai_found,ai_analyzed,ai_authored,ai_tooling,mentioned_only,vendor,disclosure_form,confidence,rationale
pgsql-bugs,000001dc0c37$b4aa8180$1dff8480$@sunwoda-evb.com,aea03961726aef28,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,000101d63a45$8ddaa7c0$a98ff740$@orain,d3702994e0875051,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,000301da2e29$8d2a7e00$a77f7a00$@cn,f478d23cea928b39,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,000501dc0c38$09b76cb0$1d264610$@sunwoda-evb.com,18a643ac08c8ebf1,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,000a01dc1beb$8837b910$98a72b30$@sunwoda-evb.com,fa94fabd1ed33b34,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,001101d7159a$91f9c0d0$b5ed4270$@schwarz-infosysteme.de,70a958b0c535a54e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,001501d704cf$b9979760$2cc6c620$@specialisedstructures.co.nz,368292181c055ce6,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00187150bfda8be0c16fb48343ce3d4ecbec8856.camel@gmail.com,dbbcfd9e2db661ee,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,001b01d7339a$c42a84e0$4c7f8ea0$@gmail.com,9220e462c281bf1b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,003e01d9ab55$704b4050$50e1c0f0$@gmail.com,dc02b0bcd9cde4e0,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,007201d96e23$fabaff10$f030fd30$@mails.tsinghua.edu.cn,2e4979886dbe7702,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,008201d96e24$f49035f0$ddb0a1d0$@mails.tsinghua.edu.cn,8bde9c6f103ca510,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,008f01d96e25$e4bdce70$ae396b50$@mails.tsinghua.edu.cn,fe166faa49d1088d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,009c01d96e26$3436f5d0$9ca4e170$@mails.tsinghua.edu.cn,f769fcccf7c1f060,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00a601db3b20$b00261e0$100725a0$@gmx.net,11277b1091aa8685,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00a901d96e26$8350bf20$89f23d60$@mails.tsinghua.edu.cn,6aed9ac994b896e8,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00b601d96e26$cad72410$60856c30$@mails.tsinghua.edu.cn,162519000e3869f0,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00c301d96e27$1a7dc410$4f794c30$@mails.tsinghua.edu.cn,108c2ce4ada760ad,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00d001d96e27$63514270$29f3c750$@mails.tsinghua.edu.cn,fb9e8f3d9c6d3fa3,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00d46a48-3324-d9a0-49bf-e7f0f11d1038@timescale.com,f20759d8ecb42555,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00dd01d96e27$9a8ca9f0$cfa5fdd0$@mails.tsinghua.edu.cn,c99c59a72eeab565,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,00f201da17e3$439404c0$cabc0e40$@melzer-kassen.com,4878e208b23c01d8,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,011a01d6ef29$0e8e1b20$2baa5160$@games.no,beabc79925c9a827,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,014A028B-5CE6-4FDF-AC24-426CA6FC9CEE@mohiohio.com,820cbb7d5ab5dfc6,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,01ca01d6f759$00c24510$0246cf30$@uol.com.br,2d1be8fa2d6e9b39,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,01fc0593-e31e-463d-902c-dd43174acee2@oopacity.net,2a53631791aaf954,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,033ab54c-6393-42ee-8ec9-2b399b5d8cde.funnyxj.fxj@alibaba-inc.com,a8f527feeac596fe,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,03583FE7-A5EE-407C-907D-67865F3F8BFC@gmail.com,787273acb2d7ed35,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,03644c0e6bb82132ac783982b6abffdf@postgrespro.ru,da17d5fe5e53a5d4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,038101d69756$6a1dd550$3e597ff0$@mail.de,6beb7482ec496eb9,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,038F1E06-4866-4563-8DE0-229B8B19ABD2@yahoo.com,d4561b6d6626e255,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,039b712e-e02f-4470-b6b4-7f810cc1bcb5@www.fastmail.com,549516ebb9423359,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,048B376714E008E5+202405141544517974659@dualhelios.com,cb8a3090cda23057,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,051c9395cf880307865ee8b17acdbf7f838c1e39.camel@j-davis.com,1d0bba1c54e62f38,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0628D055-2B0C-4852-AE0A-1B60545CF4AB@yesql.se,c667de0dd652b1fb,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,06c75996-f72b-e57b-0efe-31e74a475c39@dalibo.com,4bd828544daad7c4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,076968e1-0852-40a9-bc0b-117cd3f0e43c@eisentraut.org,7cfad02cda477dff,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0815AFF7-BE47-456B-896C-FB952CC52EE0@osss.net,1f42cdbdc7ea0119,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,08f7224c-2de9-0996-549a-c9e9d806fdef@inf.ethz.ch,92f5457864211db1,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0A3F8A3C-4328-4A4B-80CF-14CEBE0B695D@amazon.com,66c52844a9074b51,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0B351026305624C9+2024051415491270062410@dualhelios.com,07c5f27a039273b2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0b3bf24c-cc44-b25e-244e-cd740a8f8a67@postgrespro.ru,67e48272cf5fec04,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0b819232-4b50-f245-1c7d-c8c61bf41827@postgrespro.ru,4f04aa22193f7192,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0e0301d7bc59$a1e416b0$e5ac4410$@yottadb.com,d5664bf04dd3f75a,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0e4926cf-663f-4d35-a169-daf3fdd21f05@sqlexec.com,d3be0bf340192886,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,0f64b4c7fc200890f2055ce4d6650e9c2191fac2.camel@j-davis.com,11702af93541535c,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1060239572.3847959.1651567261680@mail.yahoo.com,c676d93ce74746da,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,109e6994-b971-48cb-84f6-829646f18b4c.mengjuan.cmj@alibaba-inc.com,c42b381303987d0d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,10df46d9.7dc2.19cd740a640.Coremail.jiye_sw@126.com,f6a345eada35867f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,110a333f.359.17efb204b17.Coremail.wliang@stu.xidian.edu.cn,e31b9c34da0f09e9,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,111621616618184@mail.yandex.ru,64949e5c68c0655c,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1158363234.5085080.1727766363469.JavaMail.zimbra@india.corelynx.com,f6738487bad9e208,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,11783b8644ae5.7f3aa1e3b18b4@yahoo.com,ceef32cb491a1869,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,117a4e32-a7d3-543e-b936-467b488981d4@privatejuris.org,2946eb43070602b0,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1183ab53-6a4c-b798-5cfb-b33e71ddf0dd@enospc.net,0a45fa78fa16f885,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,11E31CF9-2F45-49C9-B687-2161D8CF203D@yesql.se,044a08f06bd1498b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1205251664297977@mail.yandex.ru,283d9488dfda642e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,121e286f-3796-c9d7-9eab-6fb8e0b9c701@postgrespro.ru,44d2f2cbc2d5de65,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1237927313.5086260.1703506240368@mail.yahoo.com,d5c182adb6e47722,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1278635.1642797748@sss.pgh.pa.us,9d5027e373765059,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1313969.1591304074@sss.pgh.pa.us,2c4d96ea9f5f6b89,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1325559b-6a40-411d-a1ab-1e1162e3722b@kicktipp.de,ba63f7b186adf2df,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,132d4da23b844d5ab9e352d34096eab5@tum.de,8fc1fffeabe9fe21,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,1399710.1606842461@sss.pgh.pa.us,79e6ad9e5407ae46,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
pgsql-bugs,13beb150.7b23.19fb3cf6efc.Coremail.ld_zju@126.com,09cd2220b15195fc,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
